nazwa,lokalizacja,url,ilosc_samochodow,srednia_cena,sredni_wiek
AmnezjaCars,Płock,https://allegro.pl/uzytkownik/AmnezjaCars,7,87900.0,2015.29
Grzechuu23,Sandomierz,https://allegro.pl/uzytkownik/Grzechuu23,1,16200.0,2006.0
gs11,Cieszyn,https://allegro.pl/uzytkownik/gs11,4,32500.0,2009.5
mat-tech,Łódź,https://allegro.pl/uzytkownik/mat-tech,1,61500.0,2008.0
pumbadom,Kłodzko,https://allegro.pl/uzytkownik/pumbadom,1,37999.0,2012.0
rafex18,Orońsko,https://allegro.pl/uzytkownik/rafex18,1,23900.0,2007.0
krynio1991,Tarczyn,https://allegro.pl/uzytkownik/krynio1991,10,72400.0,2014.4
mateuszek789,Mikstat,https://allegro.pl/uzytkownik/mateuszek789,1,21900.0,2005.0
Sob-Trans,Płock,https://allegro.pl/uzytkownik/Sob-Trans,2,67700.0,2014.5
pawelfudala1,Brodnica,https://allegro.pl/uzytkownik/pawelfudala1,2,15850.0,2005.0
DRIVE_YOUR_DREAM,Bielany wrocławskie,https://allegro.pl/uzytkownik/DRIVE_YOUR_DREAM,3,271633.33,2016.67
-visio-1,Gubin,https://allegro.pl/uzytkownik/-visio-1,4,45224.5,2010.5
26tomek89,Orneta,https://allegro.pl/uzytkownik/26tomek89,2,17600.0,2005.0
-BEZWYPADKOWE-,Płock,https://allegro.pl/uzytkownik/-BEZWYPADKOWE-,17,55841.18,2014.35
battmouse,Konin,https://allegro.pl/uzytkownik/battmouse,1,15900.0,2004.0
Client:39546185,Oława,https://allegro.pl/uzytkownik/Client:39546185,1,25000.0,2005.0
KRCARS,Nowe gulczewo płock,https://allegro.pl/uzytkownik/KRCARS,5,87900.0,2014.6
gizbert_2007,Radom,https://allegro.pl/uzytkownik/gizbert_2007,1,37900.0,2005.0
macpio1,Kielce,https://allegro.pl/uzytkownik/macpio1,1,128900.0,2013.0
Agro_Car,Płock,https://allegro.pl/uzytkownik/Agro_Car,8,72650.0,2014.38
